CompetitorId,Back Squat,Clean and Jerk,Snatch,Deadlift,Fran,Grace,Helen,Filthy 50,Sprint 400m,Run 5k,Fight Gone Bad,Max Pull-ups,L1 Benchmark
5512,280 lb,207 lb,155 lb,305 lb,2:22,2:09,8:50,21:22,1:25,21:45,384,50,
481635,280 lb,225 lb,185 lb,330 lb,--,--,--,--,--,--,--,--,
1827731,--,--,--,--,--,--,--,--,--,--,--,--,
695821,--,--,--,--,--,--,--,--,--,--,--,--,
1522736,--,--,--,--,--,--,--,--,--,--,--,--,
78663,310 lb,235 lb,185 lb,350 lb,2:18,1:34,--,--,1:18,--,--,--,
835320,--,106 kg,--,160 kg,2:23,2:30,--,--,--,--,--,--,
1549019,--,--,--,--,--,--,--,--,--,--,--,--,
215510,285 lb,220 lb,165 lb,345 lb,2:38,--,--,--,--,21:20,327,42,--
151555,265 lb,225 lb,200 lb,300 lb,5:03,3:00,--,--,--,26:26,--,30,
245923,--,--,--,--,--,--,--,--,--,--,--,--,
27975,286 lb,209 lb,170 lb,315 lb,2:17,2:00,--,--,--,--,--,50,
765768,--,--,--,--,--,--,--,--,--,--,--,--,
51083,290 lb,230 lb,180 lb,355 lb,2:18,--,--,--,1:07,--,--,--,
182663,--,--,--,--,--,--,--,--,--,--,--,--,
1828449,125 kg,100 kg,90 kg,150 kg,--,--,--,--,--,20:38,--,52,
484379,335 lb,260 lb,187 lb,345 lb,2:59,1:50,--,--,1:50,--,--,52,
1212379,--,--,--,--,2:45,--,--,--,--,--,--,--,
2111003,--,--,--,--,--,--,--,--,--,--,--,--,
872275,--,--,--,--,--,--,--,--,--,--,--,--,
2088,143 kg,105 kg,80 kg,161 kg,2:29,1:20,--,--,1:09,22:00,--,50,
466582,--,--,--,--,--,--,--,--,--,--,--,--,
1101674,300 lb,235 lb,190 lb,350 lb,--,--,--,--,--,--,--,--,
928806,--,--,--,--,--,--,--,--,--,--,--,--,
1187619,--,--,--,--,--,--,--,--,--,--,--,--,
8859,135 kg,110 kg,90 kg,155 kg,--,2:03,9:26,--,--,22:32,--,36,
591912,--,--,--,--,--,--,--,--,--,--,--,--,
887140,--,--,--,--,--,--,--,--,--,--,--,--,
1366555,300 lb,238 lb,200 lb,355 lb,--,1:44,--,--,55:01,22:55,--,36,
1925180,290 lb,225 lb,190 lb,360 lb,--,--,--,--,--,--,--,--,
534577,--,--,--,--,--,--,--,--,--,--,--,--,
1190489,140 kg,95 kg,75 kg,170 kg,--,--,--,--,--,--,--,--,
250568,300 lb,225 lb,197 lb,355 lb,--,1:38,--,--,--,21:34,--,30,
581036,335 lb,255 lb,195 lb,325 lb,2:04,--,8:06,--,0:59,20:28,--,45,
225443,323 lb,250 lb,210 lb,420 lb,--,--,--,--,--,--,--,--,
1405029,--,--,--,--,--,--,--,--,--,--,--,--,
279817,220 lb,165 lb,--,290 lb,5:20,--,12:10,--,--,--,--,--,
272273,140 kg,108 kg,91 kg,140 kg,--,1:39,--,--,--,--,--,--,
1222046,--,--,--,--,--,--,--,--,--,--,--,--,
60656,315 lb,235 lb,190 lb,347 lb,2:25,1:45,--,--,1:07,--,--,--,
479593,305 lb,250 lb,215 lb,405 lb,2:48,1:09,10:48,23:00,1:28,25:19,--,--,
921782,285 lb,200 lb,145 lb,320 lb,4:03,2:05,8:23,--,--,--,--,30,
893241,--,--,--,--,--,--,--,--,--,--,--,--,
1022261,--,--,--,--,--,--,--,--,--,--,--,--,
1720941,--,--,--,--,--,--,--,--,--,--,--,--,
744648,225 lb,140 lb,--,275 lb,--,--,9:06,--,--,--,--,--,
893554,295 lb,240 lb,205 lb,325 lb,--,--,--,--,--,--,--,--,
270401,--,--,--,--,--,--,--,--,--,--,--,--,
958501,--,--,--,--,--,--,--,--,--,--,--,--,
1245033,315 lb,255 lb,180 lb,433 lb,2:12,2:26,--,--,--,--,--,--,
82284,--,--,--,--,--,--,--,--,--,--,--,--,
1272190,--,--,--,--,--,--,--,--,--,--,--,--,
1591623,--,--,--,--,--,--,--,--,--,--,--,--,
310687,330 lb,243 lb,185 lb,380 lb,2:29,1:47,--,--,--,--,--,--,
718041,--,--,--,--,--,--,--,--,--,--,--,--,
2014490,--,--,--,--,--,--,--,--,--,--,--,--,
245145,300 lb,210 lb,165 lb,330 lb,2:31,1:45,--,--,--,19:52,330,35,
1628225,--,--,--,--,--,--,--,--,--,--,--,--,
327423,--,--,180 lb,--,--,--,--,--,--,--,--,--,
23405,310 lb,225 lb,160 lb,325 lb,2:23,1:24,--,--,--,--,320,35,
322048,275 lb,192 lb,160 lb,315 lb,2:29,--,--,--,1:16,--,--,55,
267049,305 lb,205 lb,165 lb,320 lb,--,--,--,--,--,--,--,--,
466945,--,--,--,--,--,--,--,--,--,--,--,--,
1574753,--,--,--,--,--,--,--,--,--,--,--,--,
309246,135 kg,90 kg,75 kg,145 kg,--,--,--,--,--,--,--,--,
949395,310 lb,220 lb,180 lb,385 lb,--,1:58,--,--,1:00,20:30,--,39,--
1239683,--,--,--,--,--,--,--,--,--,--,--,--,
466656,--,--,--,--,--,--,--,--,--,--,--,--,
